target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
asic_area,ASIC7 Area (um2),nets + ffs + unicontrolsets,3,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),nets + ffs + unicontrolsets,3,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),nets + distram + unicontrolsets,3,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),nets + distram + unicontrolsets,3,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),nets + distram + unicontrolsets,3,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),ffs + distram + unicontrolsets,3,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),ffs + distram + unicontrolsets,3,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),ffs + distram + unicontrolsets,3,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + power + nets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + nets,4,Perceptron,0.8,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + power + nets,4,SGDClassifier,0.8,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + power + ffs,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + ffs,4,Perceptron,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + ffs,4,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + distram,4,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + power + distram,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + distram,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + unicontrolsets,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + power + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets + ffs,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets + ffs,4,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + nets + ffs,4,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets + distram,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets + distram,4,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + nets + distram,4,SGDClassifier,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + fmax + nets + unicontrolsets,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + nets + unicontrolsets,4,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + nets + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + ffs + distram,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + ffs + distram,4,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + ffs + distram,4,SGDClassifier,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + ffs + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + ffs + unicontrolsets,4,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + ffs + unicontrolsets,4,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + fmax + distram + unicontrolsets,4,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),luts + fmax + distram + unicontrolsets,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + fmax + distram + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets + ffs,4,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + power + nets + ffs,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets + ffs,4,SGDClassifier,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + power + nets + distram,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + power + nets + distram,4,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + power + nets + distram,4,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + power + nets + unicontrolsets,4,LogisticRegression,0.6,0.1633
asic_area,ASIC7 Area (um2),luts + power + nets + unicontrolsets,4,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + power + nets + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + ffs + distram,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + power + ffs + distram,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + ffs + distram,4,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + power + ffs + unicontrolsets,4,LogisticRegression,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + power + ffs + unicontrolsets,4,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + power + ffs + unicontrolsets,4,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + power + distram + unicontrolsets,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + power + distram + unicontrolsets,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + power + distram + unicontrolsets,4,SGDClassifier,0.4,0.0
asic_area,ASIC7 Area (um2),luts + nets + ffs + distram,4,LogisticRegression,0.5333,0.2494
asic_area,ASIC7 Area (um2),luts + nets + ffs + distram,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + nets + ffs + distram,4,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + nets + ffs + unicontrolsets,4,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + nets + ffs + unicontrolsets,4,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),luts + nets + ffs + unicontrolsets,4,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),luts + nets + distram + unicontrolsets,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + nets + distram + unicontrolsets,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + nets + distram + unicontrolsets,4,SGDClassifier,0.6667,0.0943
asic_area,ASIC7 Area (um2),luts + ffs + distram + unicontrolsets,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),luts + ffs + distram + unicontrolsets,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),luts + ffs + distram + unicontrolsets,4,SGDClassifier,0.4667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + ffs,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + ffs,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + ffs,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + distram,4,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + power + nets + distram,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + distram,4,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),fmax + power + nets + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + nets + unicontrolsets,4,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + power + nets + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs + distram,4,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + power + ffs + distram,4,Perceptron,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs + distram,4,SGDClassifier,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + power + ffs + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + power + ffs + unicontrolsets,4,Perceptron,0.6,0.1633
asic_area,ASIC7 Area (um2),fmax + power + ffs + unicontrolsets,4,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),fmax + power + distram + unicontrolsets,4,LogisticRegression,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + power + distram + unicontrolsets,4,Perceptron,0.4667,0.1886
asic_area,ASIC7 Area (um2),fmax + power + distram + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + distram,4,LogisticRegression,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + distram,4,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + distram,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + unicontrolsets,4,Perceptron,0.7333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + ffs + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),fmax + nets + distram + unicontrolsets,4,LogisticRegression,0.6,0.0
asic_area,ASIC7 Area (um2),fmax + nets + distram + unicontrolsets,4,Perceptron,0.4,0.1633
asic_area,ASIC7 Area (um2),fmax + nets + distram + unicontrolsets,4,SGDClassifier,0.4667,0.1886
asic_area,ASIC7 Area (um2),fmax + ffs + distram + unicontrolsets,4,LogisticRegression,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + distram + unicontrolsets,4,Perceptron,0.6667,0.0943
asic_area,ASIC7 Area (um2),fmax + ffs + distram + unicontrolsets,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + ffs + distram,4,LogisticRegression,0.4667,0.1886
asic_area,ASIC7 Area (um2),power + nets + ffs + distram,4,Perceptron,0.6,0.0
asic_area,ASIC7 Area (um2),power + nets + ffs + distram,4,SGDClassifier,0.5333,0.0943
asic_area,ASIC7 Area (um2),power + nets + ffs + unicontrolsets,4,LogisticRegression,0.4667,0.0943
