pdk,target,target_label,combination,n_features,model,cv_accuracy_mean,cv_accuracy_std
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power,3,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power,3,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets,3,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets,3,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets,3,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax + registers,3,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax + registers,3,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),area + fmax + registers,3,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets,3,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets,3,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets,3,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + registers,3,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + registers,3,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + registers,3,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + nets + registers,3,LogisticRegression,0.4667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + nets + registers,3,Perceptron,0.4667,0.2494
ASIC7,fpga_power,FPGA Power (mW),area + nets + registers,3,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets,3,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets,3,Perceptron,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets,3,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + registers,3,LogisticRegression,0.4,0.0
ASIC7,fpga_power,FPGA Power (mW),fmax + power + registers,3,Perceptron,0.4667,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + registers,3,SGDClassifier,0.4667,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + nets + registers,3,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),fmax + nets + registers,3,Perceptron,0.3333,0.1886
ASIC7,fpga_power,FPGA Power (mW),fmax + nets + registers,3,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),power + nets + registers,3,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + nets + registers,3,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),power + nets + registers,3,SGDClassifier,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + nets,4,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + nets,4,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + nets,4,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + registers,4,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + registers,4,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + registers,4,SGDClassifier,0.2667,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets + registers,4,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets + registers,4,Perceptron,0.4667,0.2494
ASIC7,fpga_power,FPGA Power (mW),area + fmax + nets + registers,4,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets + registers,4,LogisticRegression,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets + registers,4,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + power + nets + registers,4,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets + registers,4,LogisticRegression,0.4,0.1633
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets + registers,4,Perceptron,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),fmax + power + nets + registers,4,SGDClassifier,0.3333,0.0943
ASIC7,fpga_power,FPGA Power (mW),area + fmax + power + nets + registers,5,LogisticRegression,0.4,0.1633
